,TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT,PRE_COVID_DIP,BOTTOM_COVID_DIP,EOY_2021,CURRENT_PRICE,COVID_BOTTOM_TO_2021_TOP,COVID_BOTTOM_TO_2021_TOP_PERCENT,CURRENT_FROM_COVID_BOTTOM_PRICE,CURRENT_FROM_PRE_COVID_PRICE,VALUE_LEFT_TO_DECREASE,VALUE_LEFT_TO_DECREASE_PERCENT
4320,IEAWW.US,D,2020-02-14,000000,0.07,0.07,0.07,0.07,2600,0,0.07,0.0315,1.39,1.03,1.3584999999999998,43.12698412698412,0.9985,0.96,0.9985,3169.84126984127
1272,BLNKW.US,D,2020-02-14,000000,0.89,1.15,0.89,0.99,277295,0,0.99,0.4503,22.7,11.6934,22.2497,49.41083721963136,11.2431,10.7034,11.2431,2496.802131912059
5788,MVIS.US,D,2020-02-14,000000,0.6187,0.6187,0.5918,0.6074,165955,0,0.6074,0.1847,5.01,3.95,4.8252999999999995,26.12506767731456,3.7653000000000003,3.3426,3.7653000000000003,2038.6031402273961
9248,VTNR.US,D,2020-02-14,000000,1.2887,1.32,1.261,1.31,27791,0,1.31,0.568,4.53,10.72,3.962,6.975352112676057,10.152000000000001,9.41,10.152000000000001,1787.3239436619724
1696,CELH.US,D,2020-02-14,000000,5.92,6.1,5.86,6.08,155397,0,6.08,3.86,74.57,65.96,70.71,18.318652849740932,62.099999999999994,59.879999999999995,62.099999999999994,1608.8082901554405
7272,RCMT.US,D,2020-02-14,000000,2.71,2.775,2.71,2.74,1758,0,2.74,1.17,7.12,19.23,5.95,5.085470085470086,18.060000000000002,16.490000000000002,18.060000000000002,1543.5897435897439
112,ACRS.US,D,2020-02-14,000000,1.39,1.46,1.35,1.35,290900,0,1.35,0.9,14.54,13.83,13.639999999999999,15.155555555555553,12.93,12.48,12.93,1436.6666666666665
3852,GSM.US,D,2020-02-14,000000,1.01,1.02,0.99,1.01,131052,0,1.01,0.4,6.21,6.1,5.81,14.524999999999999,5.699999999999999,5.09,5.699999999999999,1424.9999999999998
7468,ROCC.US,D,2020-02-14,000000,18.4,18.88,17.24,17.53,150747,0,17.53,2.2,26.92,32.4,24.720000000000002,11.236363636363636,30.2,14.869999999999997,30.2,1372.7272727272727
1912,CLDX.US,D,2020-02-14,000000,2.34,2.34,2.26,2.28,95294,0,2.28,1.55,38.64,22.7,37.09,23.929032258064517,21.15,20.419999999999998,21.15,1364.516129032258
1148,BGFV.US,D,2020-02-14,000000,2.8603,3.0215,2.8603,3.0044,148379,0,3.0044,0.7726,18.721,11.01,17.9484,23.231167486409525,10.2374,8.0056,10.2374,1325.0582448873931
1512,CAR.US,D,2020-02-14,000000,41.38,41.88,40.61,41.3,629379,0,41.3,10.98,207.37,150.91,196.39000000000001,17.88615664845173,139.93,109.61,139.93,1274.408014571949
3976,HDSN.US,D,2020-02-14,000000,0.7925,0.84,0.7925,0.8124,183062,0,0.8124,0.58,4.44,7.41,3.8600000000000003,6.655172413793104,6.83,6.5976,6.83,1177.5862068965519
1644,CDEV.US,D,2020-02-14,000000,2.69,2.77,2.62,2.64,5406512,0,2.64,0.52,5.98,5.98,5.460000000000001,10.500000000000002,5.460000000000001,3.3400000000000003,5.460000000000001,1050.0000000000002
1268,BLNK.US,D,2020-02-14,000000,2.55,3.07,2.47,2.67,7700754,0,2.67,1.41,26.51,15.94,25.1,17.801418439716315,14.53,13.27,14.53,1030.4964539007094
3584,GDEN.US,D,2020-02-14,000000,20.74,20.96,20.55,20.89,93075,0,20.89,3.78,50.53,40.72,46.75,12.367724867724869,36.94,19.83,36.94,977.2486772486773
5288,MARA.US,D,2020-02-14,000000,1.25,1.3,1.24,1.25,92759,0,1.25,0.5163,32.86,5.54,32.3437,62.645167538252956,5.0237,4.29,5.0237,973.019562269998
2944,ESEA.US,D,2020-02-14,000000,3.2135,3.359,2.95,3.35,45010,0,3.35,2.17,24.91,23.0,22.740000000000002,10.47926267281106,20.83,19.65,20.83,959.9078341013824
424,ALTO.US,D,2020-02-14,000000,0.587,0.61,0.5602,0.5719,187670,0,0.5719,0.37,4.81,3.74,4.4399999999999995,11.999999999999998,3.37,3.1681000000000004,3.37,910.8108108108108
6668,PDCE.US,D,2020-02-14,000000,21.785,22.011,21.463,21.825,1197037,0,21.825,6.2804,48.604,61.27,42.3236,6.738997516081778,54.9896,39.44500000000001,54.9896,875.5748041526017
8564,TGA.US,D,2020-02-14,000000,1.2317,1.2317,1.1633,1.1731,378611,0,1.1731,0.36952,2.9425,3.5,2.57298,6.963033124052824,3.13048,2.3269,3.13048,847.1747131413725
484,AMRK.US,D,2020-02-14,000000,3.8428,3.90645,3.7747,3.8318,5784,0,3.8318,3.54175,30.55,32.3,27.00825,7.625679395778923,28.758249999999997,28.468199999999996,28.758249999999997,811.9785416813721
1932,CLMT.US,D,2020-02-14,000000,4.24,4.31,4.21,4.25,61912,0,4.25,1.18,13.2,10.22,12.02,10.186440677966102,9.040000000000001,5.970000000000001,9.040000000000001,766.1016949152544
8348,SWAV.US,D,2020-02-14,000000,46.5,46.83,42.94,44.35,1393602,0,44.35,23.16,178.33,198.62,155.17000000000002,6.699913644214163,175.46,154.27,175.46,757.5993091537133
4808,KOSS.US,D,2020-02-14,000000,1.44,1.45,1.44,1.45,1038,0,1.45,0.8301,10.68,6.7,9.8499,11.865919768702566,5.8699,5.25,5.8699,707.1316708830262
6852,PLL.US,D,2020-02-14,000000,8.6,8.79,8.4,8.6,6187,0,8.6,4.45,52.46,35.86,48.01,10.78876404494382,31.41,27.259999999999998,31.41,705.8426966292134
8744,TSLA.US,D,2020-02-14,000000,157.44,162.59,157.1,160.01,78468555,0,160.01,85.506,1056.78,681.79,971.274,11.359132692442635,596.284,521.78,596.284,697.3592496432999
6272,OCGN.US,D,2020-02-14,000000,0.59,0.59,0.55,0.56529,1540167,0,0.56529,0.306,4.55,2.42,4.244,13.869281045751633,2.114,1.8547099999999999,2.114,690.8496732026143
8948,USAK.US,D,2020-02-14,000000,5.68,5.69,5.47,5.52,40098,0,5.52,3.94,19.88,31.05,15.94,4.0456852791878175,27.11,25.53,27.11,688.0710659898477
2348,CTIC.US,D,2020-02-14,000000,1.32,1.3399,1.25,1.25,193318,0,1.25,0.7915,2.48,6.08,1.6885,2.1332912192040427,5.2885,4.83,5.2885,668.1617182564751
568,APA.US,D,2020-02-14,000000,26.733,26.757,25.962,26.075,4503605,0,26.075,4.6033,26.71,35.35,22.1067,4.802359177112072,30.7467,9.275000000000002,30.7467,667.9273564616688
4096,HOVNP.US,D,2020-02-14,000000,6.0932,6.4499,6.0932,6.4499,5014,0,6.4499,2.45,23.0,18.5,20.55,8.387755102040815,16.05,12.0501,16.05,655.1020408163265
2876,ENPH.US,D,2020-02-14,000000,41.15,42.39,40.98,41.09,4912452,0,41.09,26.0,182.94,195.72,156.94,6.036153846153846,169.72,154.63,169.72,652.7692307692307
4532,IPWR.US,D,2020-02-14,000000,2.5,3.1699,2.4901,2.7776,325549,0,2.7776,1.58,12.06,11.86,10.48,6.632911392405063,10.28,9.0824,10.28,650.6329113924049
2672,DSKE.US,D,2020-02-14,000000,4.15,4.25,3.69,3.88,184030,0,3.88,0.8574,10.04,6.4,9.182599999999999,10.709820387217166,5.5426,2.5200000000000005,5.5426,646.4427338465126
1208,BKEP.US,D,2020-02-14,000000,0.9623,0.9793,0.9538,0.9709,91624,0,0.9709,0.6068,3.2308,4.52,2.6239999999999997,4.324324324324324,3.9132,3.5490999999999997,3.9132,644.8912326961107
5104,LNW.US,D,2020-02-14,000000,29.24,29.24,28.21,28.82,570811,0,28.82,6.63,66.83,48.57,60.199999999999996,9.079939668174962,41.94,19.75,41.94,632.579185520362
5296,MARPS.US,D,2020-02-14,000000,1.52509,1.55413,1.52509,1.55413,3434.7448312344,0,1.55413,1.04502,4.10699,7.44,3.0619699999999996,2.9300587548563657,6.39498,5.885870000000001,6.39498,611.9480966871447
6984,PRPH.US,D,2020-02-14,000000,1.6372,1.6372,1.6371,1.6371,447,0,1.6371,1.8192,6.8441,12.92,5.024900000000001,2.762148197009675,11.1008,11.2829,11.1008,610.2022867194371
3088,FANG.US,D,2020-02-14,000000,68.926,69.1671,67.9377,68.8996,2267849.8121665,0,68.8996,17.1895,104.858,121.21,87.66850000000001,5.1001192588498805,104.0205,52.31039999999999,104.0205,605.1397655545537
7064,PTEN.US,D,2020-02-14,000000,7.2426,7.339,7.1073,7.2328,4023571,0,7.2328,2.1501,8.4261,15.13,6.276,2.9189340030696243,12.9799,7.897200000000001,12.9799,603.6882005488117
1796,CHEF.US,D,2020-02-14,000000,37.87,38.49,36.94,37.1,394077,0,37.1,5.54,33.3,38.96,27.759999999999998,5.010830324909747,33.42,1.8599999999999994,33.42,603.2490974729242
1916,CLFD.US,D,2020-02-14,000000,12.42,12.63,12.1059,12.16,10562,0,12.16,9.03,84.42,62.97,75.39,8.348837209302326,53.94,50.81,53.94,597.3421926910299
6480,OSTK.US,D,2020-02-14,000000,9,9.6,8.94,9.03,2615138,0,9.03,3.76,59.01,26.17,55.25,14.694148936170214,22.410000000000004,17.14,22.410000000000004,596.0106382978724
5472,MGI.US,D,2020-02-14,000000,2.48,2.64,2.45,2.59,1642583,0,2.59,1.48,7.89,10.23,6.41,4.331081081081082,8.75,7.640000000000001,8.75,591.2162162162163
7632,SAVA.US,D,2020-02-14,000000,7.74,7.84,7.21,7.26,1483289,0,7.26,3.87,43.7,26.51,39.830000000000005,10.291989664082688,22.64,19.25,22.64,585.0129198966408
512,AMTX.US,D,2020-02-14,000000,0.8003,0.8296,0.7901,0.79997,25762,0,0.79997,0.71,12.3,4.83,11.59,16.323943661971832,4.12,4.03003,4.12,580.2816901408451
3296,FLL.US,D,2020-02-14,000000,3.38,3.45,3.34,3.38,31051,0,3.38,0.7661,12.11,5.19,11.3439,14.807335856937737,4.423900000000001,1.8100000000000005,4.423900000000001,577.4572510116174
3808,GRIN.US,D,2020-02-14,000000,4.8398,4.8398,4.6181,4.6828,10686,0,4.6828,2.6324,17.517,17.72,14.884599999999999,5.654383832244339,15.087599999999998,13.037199999999999,15.087599999999998,573.1499772071113
924,AVNW.US,D,2020-02-14,000000,6.75,6.775,6.6075,6.64,70858,0,6.64,3.75,32.08,25.09,28.33,7.554666666666666,21.34,18.45,21.34,569.0666666666667
808,ATLC.US,D,2020-02-14,000000,12.45,12.57,10.8798,11.28,56258,0,11.28,5.49,71.32,36.73,65.83,11.990892531876138,31.239999999999995,25.449999999999996,31.239999999999995,569.0346083788705
6380,ONEW.US,D,2020-02-14,000000,16.466,16.859,15.489,16.763,272266,0,16.763,4.9811,60.97,32.91,55.9889,11.240268213848347,27.9289,16.146999999999995,27.9289,560.6974363092489
2056,CNTY.US,D,2020-02-14,000000,8.29,8.3,8.1,8.11,38433,0,8.11,1.15,12.18,7.44,11.03,9.591304347826087,6.290000000000001,-0.669999999999999,6.290000000000001,546.9565217391305
4060,HNRG.US,D,2020-02-14,000000,1.27,1.3545,1.2,1.2,224858,0,1.2,0.91,2.46,5.81,1.5499999999999998,1.703296703296703,4.8999999999999995,4.609999999999999,4.8999999999999995,538.4615384615385
