,TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT,PRE_COVID_DIP,BOTTOM_COVID_DIP,EOY_2021,CURRENT_PRICE,COVID_BOTTOM_TO_2021_TOP,COVID_BOTTOM_TO_2021_TOP_PERCENT,CURRENT_FROM_COVID_BOTTOM_PRICE,CURRENT_FROM_PRE_COVID_PRICE,VALUE_LEFT_TO_DECREASE,VALUE_LEFT_TO_DECREASE_PERCENT
7208,RENN.US,D,2020-02-14,000000,1.65,1.67,1.65,1.65,14262,0,1.65,0.749999,14.68,29.69,13.930000999999999,18.573359431145906,28.940001000000002,28.040000000000003,28.940001000000002,3858.671944895927
480,AMR.US,D,2020-02-14,000000,6.15,6.51,6.03,6.36,139942,0,6.36,3.38,61.05,124.87,57.669999999999995,17.062130177514792,121.49000000000001,118.51,121.49000000000001,3594.3786982248525
3808,GME.US,D,2020-02-14,000000,4.11,4.19,4.02,4.02,1582660,0,4.02,3.76,148.39,123.42,144.63,38.465425531914896,119.66,119.4,119.66,3182.4468085106387
576,AR.US,D,2020-02-14,000000,1.75,1.8,1.63,1.65,12711882,0,1.65,0.9481,17.5,30.74,16.5519,17.457968568716378,29.7919,29.09,29.7919,3142.2740217276655
7776,SM.US,D,2020-02-14,000000,9.1119,9.1119,8.6288,8.7076,2966411,0,8.7076,1.2228,29.473,34.08,28.2502,23.102878639188745,32.8572,25.3724,32.8572,2687.0461236506376
5720,MTDR.US,D,2020-02-14,000000,13.0328,13.0927,12.6851,12.864,2898030.2289016,0,12.864,1.70987,36.8467,46.76,35.136829999999996,20.54941603747653,45.050129999999996,33.896,45.050129999999996,2634.7108259692254
2352,DAC.US,D,2020-02-14,000000,6.57998,6.61853,6.35874,6.58969,125557.59791879,0,6.58969,2.6743,73.4113,61.91,70.737,26.450659985790672,59.235699999999994,55.32031,59.235699999999994,2214.9983173166806
7600,SD.US,D,2020-02-14,000000,2.55,2.57,2.41,2.45,129316,0,2.45,0.7998,10.46,15.92,9.660200000000001,12.07826956739185,15.1202,13.469999999999999,15.1202,1890.4976244061017
6536,OVV.US,D,2020-02-14,000000,15.037,15.248,14.567,14.659,3180916,0,14.659,2.3452,33.553,43.5,31.2078,13.307095343680707,41.1548,28.841,41.1548,1754.852464608562
6276,NTZ.US,D,2020-02-14,000000,1.7,1.95,1.7,1.95,55099,0,1.95,0.5,15.93,7.95,15.43,30.86,7.45,6.0,7.45,1490.0
8012,SSL.US,D,2020-02-14,000000,15.97,16,15.7,15.73,192452,0,15.73,1.61,16.4,21.68,14.79,9.186335403726707,20.07,5.949999999999999,20.07,1246.583850931677
9080,VRTV.US,D,2020-02-14,000000,13.32,13.32,12.7,13,86152,0,13.0,8.3,122.57,107.0,114.27,13.767469879518071,98.7,94.0,98.7,1189.156626506024
7524,SBOW.US,D,2020-02-14,000000,4.04,4.05,3.76,3.78,85785,0,3.78,2.2,21.77,28.04,19.57,8.895454545454545,25.84,24.259999999999998,25.84,1174.5454545454545
8728,UAN.US,D,2020-02-14,000000,23.7217,24.1414,23.4434,23.7924,4962.9861375185,0,23.7924,7.78489,77.4734,97.93,69.68851,8.951765535543855,90.14511,74.1376,90.14511,1157.9496948576025
1468,BXC.US,D,2020-02-14,000000,13.77,13.95,13.41,13.45,41393,0,13.45,5.93,95.76,69.29,89.83000000000001,15.148397976391234,63.36000000000001,55.84,63.36000000000001,1068.4654300168636
7260,RFP.US,D,2020-02-14,000000,2.8825,2.9381,2.864,2.9288,775627,0,2.9288,1.2512,15.27,14.56,14.018799999999999,11.204283887468028,13.3088,11.6312,13.3088,1063.682864450128
2276,CVE.US,D,2020-02-14,000000,8.8336,8.8921,8.5898,8.6873,3220274,0,8.6873,1.6436,12.259,18.95,10.615400000000001,6.458627403261135,17.3064,10.262699999999999,17.3064,1052.9569238257484
5564,MN.US,D,2020-02-14,000000,1.9247,1.9535,1.8477,1.8765,78475,0,1.8765,1.0971,8.2265,12.5,7.1293999999999995,6.498404885607511,11.4029,10.6235,11.4029,1039.3674232066357
8632,TTI.US,D,2020-02-14,000000,1.54,1.54,1.38,1.38,335171,0,1.38,0.3701,2.84,4.02,2.4699,6.673601729262362,3.6498999999999997,2.6399999999999997,3.6498999999999997,986.1929208322074
7760,SLCA.US,D,2020-02-14,000000,5.8181,6.0547,5.749,5.8674,1462708,0,5.8674,1.04,9.4,11.26,8.36,8.038461538461538,10.219999999999999,5.3926,10.219999999999999,982.6923076923075
2112,CPG.US,D,2020-02-14,000000,3.1853,3.205,3.0726,3.1168,973447,0,3.1168,0.6905,5.3141,7.26,4.6236,6.696017378711079,6.5695,4.1432,6.5695,951.412020275163
4952,KOS.US,D,2020-02-14,000000,5.362,5.3865,5.2096,5.2981,6165034,0,5.2981,0.6085,3.46,6.22,2.8514999999999997,4.686113393590796,5.6114999999999995,0.9218999999999999,5.6114999999999995,922.1857025472472
2712,DVN.US,D,2020-02-14,000000,20.79,21.005,20.088,20.318,8098816,0,20.318,5.472,43.323,55.11,37.851,6.917214912280701,49.638,34.792,49.638,907.127192982456
3092,ERF.US,D,2020-02-14,000000,5.0981,5.1646,4.93739,4.97528,2010232.6140262,0,4.97528,1.34641,10.521,13.33,9.17459,6.814113085909938,11.98359,8.35472,11.98359,890.0401809255724
6656,PDS.US,D,2020-02-14,000000,28.6,29.4,27.2,27.6,36600,0,27.6,6.538,35.43,63.56,28.892,4.41908840624044,57.022000000000006,35.96,57.022000000000006,872.1627408993577
2972,ENLC.US,D,2020-02-14,000000,3.6994,3.7397,3.5056,3.6187,5301475,0,3.6187,0.9288,6.7163,8.82,5.7875000000000005,6.231158484065461,7.8912,5.2013,7.8912,849.6124031007753
3984,GTLS.US,D,2020-02-14,000000,69.84,74.325,68.03,73.56,1311579,0,73.56,16.64,159.49,157.56,142.85000000000002,8.584735576923078,140.92000000000002,84.0,140.92000000000002,846.875
5024,LAC.US,D,2020-02-14,000000,5.7,5.7,5.13,5.43,1349693,0,5.43,2.14,29.12,20.12,26.98,12.607476635514018,17.98,14.690000000000001,17.98,840.1869158878504
8960,VET.US,D,2020-02-14,000000,13.578,13.626,13.35,13.426,915233,0,13.426,2.0912,12.562,19.42,10.470799999999999,5.007077276205049,17.3288,5.9940000000000015,17.3288,828.6534047436879
